"","lat","lon","route_id","agency"
"1",47.655808,-122.38372,"Route 31","Metro Transit"
"2",47.655296,-122.382843,"Route 31","Metro Transit"
"3",47.65419,-122.375465,"Route 31","Metro Transit"
"4",47.654976,-122.372124,"Route 31","Metro Transit"
"5",47.653629,-122.36985,"Route 31","Metro Transit"
"6",47.652119,-122.36689,"Route 31","Metro Transit"
"7",47.651512,-122.364243,"Route 31","Metro Transit"
"8",47.65068,-122.36055,"Route 31","Metro Transit"
"9",47.649792,-122.357918,"Route 31","Metro Transit"
"10",47.648266,-122.354568,"Route 31","Metro Transit"
"11",47.647102,-122.352066,"Route 31","Metro Transit"
"12",47.647102,-122.351685,"Route 31","Metro Transit"
"13",47.648422,-122.354568,"Route 31","Metro Transit"
"14",47.649681,-122.3573,"Route 31","Metro Transit"
"15",47.650986,-122.361244,"Route 31","Metro Transit"
"16",47.651791,-122.364815,"Route 31","Metro Transit"
"17",47.652378,-122.367371,"Route 31","Metro Transit"
"18",47.653969,-122.370102,"Route 31","Metro Transit"
"19",47.654903,-122.371696,"Route 31","Metro Transit"
"20",47.639492,-122.397896,"Route 31","Metro Transit"
"21",47.637772,-122.395782,"Route 31","Metro Transit"
"22",47.634876,-122.393158,"Route 31","Metro Transit"
"23",47.634918,-122.392952,"Route 31","Metro Transit"
"24",47.637577,-122.395409,"Route 31","Metro Transit"
"25",47.63995,-122.401093,"Route 31","Metro Transit"
"26",47.661282,-122.293724,"Route 31","Metro Transit"
"27",47.661049,-122.298904,"Route 31","Metro Transit"
"28",47.655964,-122.320801,"Route 31","Metro Transit"
"29",47.653511,-122.316795,"Route 31","Metro Transit"
"30",47.655628,-122.329376,"Route 31","Metro Transit"
"31",47.655647,-122.331772,"Route 31","Metro Transit"
"32",47.655693,-122.334183,"Route 31","Metro Transit"
"33",47.655716,-122.336098,"Route 31","Metro Transit"
"34",47.654091,-122.336388,"Route 31","Metro Transit"
"35",47.651783,-122.336411,"Route 31","Metro Transit"
"36",47.649273,-122.33667,"Route 31","Metro Transit"
"37",47.649281,-122.339073,"Route 31","Metro Transit"
"38",47.649571,-122.343147,"Route 31","Metro Transit"
"39",47.650215,-122.347343,"Route 31","Metro Transit"
"40",47.649677,-122.349869,"Route 31","Metro Transit"
"41",47.64986,-122.349678,"Route 31","Metro Transit"
"42",47.650032,-122.347054,"Route 31","Metro Transit"
"43",47.649525,-122.34375,"Route 31","Metro Transit"
"44",47.649143,-122.339073,"Route 31","Metro Transit"
"45",47.64941,-122.336235,"Route 31","Metro Transit"
"46",47.652195,-122.336205,"Route 31","Metro Transit"
"47",47.655579,-122.335701,"Route 31","Metro Transit"
"48",47.655514,-122.332314,"Route 31","Metro Transit"
"49",47.655499,-122.329964,"Route 31","Metro Transit"
"50",47.655479,-122.327538,"Route 31","Metro Transit"
"51",47.66119,-122.28923,"Route 31","Metro Transit"
"52",47.655609,-122.32618,"Route 31","Metro Transit"
"53",47.65443,-122.320747,"Route 31","Metro Transit"
"54",47.653683,-122.384758,"Route 31","Metro Transit"
"55",47.651901,-122.384781,"Route 31","Metro Transit"
"56",47.650131,-122.384773,"Route 31","Metro Transit"
"57",47.648266,-122.384773,"Route 31","Metro Transit"
"58",47.646347,-122.384758,"Route 31","Metro Transit"
"59",47.644539,-122.384743,"Route 31","Metro Transit"
"60",47.643047,-122.38472,"Route 31","Metro Transit"
"61",47.640659,-122.386398,"Route 31","Metro Transit"
"62",47.639835,-122.387108,"Route 31","Metro Transit"
"63",47.638294,-122.388252,"Route 31","Metro Transit"
"64",47.636757,-122.389404,"Route 31","Metro Transit"
"65",47.635212,-122.390396,"Route 31","Metro Transit"
"66",47.637131,-122.388702,"Route 31","Metro Transit"
"67",47.63834,-122.387787,"Route 31","Metro Transit"
"68",47.639305,-122.387062,"Route 31","Metro Transit"
"69",47.640957,-122.385933,"Route 31","Metro Transit"
"70",47.643402,-122.384537,"Route 31","Metro Transit"
"71",47.645058,-122.384552,"Route 31","Metro Transit"
"72",47.646801,-122.384552,"Route 31","Metro Transit"
"73",47.648716,-122.384567,"Route 31","Metro Transit"
"74",47.65052,-122.384567,"Route 31","Metro Transit"
"75",47.6521,-122.384583,"Route 31","Metro Transit"
"76",47.65332,-122.384567,"Route 31","Metro Transit"
"77",47.655445,-122.385811,"Route 31","Metro Transit"
"78",47.655281,-122.385864,"Route 31","Metro Transit"
"79",47.634792,-122.391106,"Route 31","Metro Transit"
"80",47.652336,-122.306412,"Route 31","Metro Transit"
"81",47.654365,-122.305214,"Route 31","Metro Transit"
"82",47.652149,-122.308495,"Route 31","Metro Transit"
"83",47.655102,-122.310921,"Route 31","Metro Transit"
"84",47.656876,-122.304909,"Route 31","Metro Transit"
"85",47.657257,-122.304573,"Route 31","Metro Transit"
"86",47.659439,-122.306824,"Route 31","Metro Transit"
"87",47.655045,-122.311172,"Route 31","Metro Transit"
"88",47.653713,-122.305023,"Route 31","Metro Transit"
"89",47.652046,-122.308693,"Route 31","Metro Transit"
"90",47.6563,-122.31546,"Route 31","Metro Transit"
