"","Offense Type","Offense Description","Date Reported","Month","Year","Longitude","Latitude"
"1","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.377548218,47.670173645
"2","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.377548218,47.670173645
"3","THREATS-KILL","Threats",NA,2,2018,-122.326347351,47.60982132
"4","THREATS-KILL","Threats",NA,2,2018,-122.326347351,47.60982132
"5","THREATS-KILL","Threats",NA,2,2018,-122.326347351,47.60982132
"6","THREATS-KILL","Threats",NA,2,2018,-122.326347351,47.60982132
"7","THREATS-KILL","Threats",NA,2,2018,-122.326347351,47.60982132
"8","THREATS-KILL","Threats",NA,2,2018,-122.326347351,47.60982132
"9","ASSLT-NONAGG","Assault",NA,2,2018,-122.353439331,47.62544632
"10","ASSLT-NONAGG","Assault",NA,2,2018,-122.353439331,47.62544632
"11","ASSLT-NONAGG","Assault",NA,2,2018,-122.332878113,47.600879669
"12","ASSLT-NONAGG","Assault",NA,2,2018,-122.332878113,47.600879669
"13","ASSLT-NONAGG","Assault",NA,2,2018,-122.332878113,47.600879669
"14","ASSLT-NONAGG","Assault",NA,2,2018,-122.332878113,47.600879669
"15","ASSLT-NONAGG","Assault",NA,2,2018,-122.332878113,47.600879669
"16","ASSLT-NONAGG","Assault",NA,2,2018,-122.332878113,47.600879669
"17","ASSLT-NONAGG","Assault",NA,2,2018,-122.355300903,47.690998077
"18","ASSLT-NONAGG","Assault",NA,2,2018,-122.355300903,47.690998077
"19","ASSLT-NONAGG","Assault",NA,2,2018,-122.355300903,47.690998077
"20","ASSLT-NONAGG","Assault",NA,2,2018,-122.355300903,47.690998077
"21","ASSLT-NONAGG","Assault",NA,2,2018,-122.320793152,47.614654541
"22","ASSLT-NONAGG","Assault",NA,2,2018,-122.320793152,47.614654541
"23","ASSLT-NONAGG","Assault",NA,2,2018,-122.320793152,47.614654541
"24","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348678589,47.613479614
"25","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348678589,47.613479614
"26","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348678589,47.613479614
"27","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.348678589,47.613479614
"28","ASSLT-NONAGG","Assault",NA,2,2018,-122.376152039,47.639656067
"29","ASSLT-NONAGG","Assault",NA,2,2018,-122.376152039,47.639656067
