service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
100579,0,1,0,0,0,0,0,20180416,20180921
101544,0,1,0,1,0,0,0,20180416,20180921
102375,0,1,0,0,0,0,0,20180416,20180921
103237,0,1,0,1,0,0,0,20180413,20180921
104483,0,1,0,1,1,0,0,20180416,20180921
104560,0,1,0,1,1,0,0,20180413,20180921
11585,0,0,0,0,0,0,1,20180415,20180610
14016,0,0,0,0,0,0,0,20180415,20180903
14599,0,0,0,0,0,1,0,20180616,20180915
16736,0,0,0,0,0,0,1,20180617,20180916
17576,0,0,0,0,1,0,0,20180427,20180615
23110,0,0,0,0,0,1,0,20180414,20180915
2431,0,0,0,0,0,0,0,20180812,20180903
28321,0,0,0,0,0,0,1,20180415,20180916
30857,0,0,0,0,0,0,0,20180413,20180921
34907,0,1,1,1,1,0,0,20180417,20180608
35200,0,1,1,1,1,0,0,20180413,20180608
36248,0,1,1,1,1,0,0,20180423,20180615
36661,0,0,0,0,0,0,0,20180618,20180920
40642,0,1,1,1,1,0,0,20180413,20180615
63918,0,1,0,1,1,0,0,20180618,20180921
68312,0,0,0,0,0,0,0,20180413,20180921
8511,0,0,0,0,0,1,0,20180414,20180609
9110,0,0,1,0,0,0,0,20180418,20180613
92434,0,1,0,1,0,0,0,20180416,20180921
94127,0,1,0,1,0,0,0,20180413,20180921
94837,0,1,0,1,0,0,0,20180416,20180921
95373,0,1,0,1,1,0,0,20180416,20180921
9723,0,0,0,0,1,0,0,20180413,20180615
98825,0,0,0,0,0,0,0,20180417,20180921
1,1,1,1,1,1,0,0,20180302,20230302
2,0,0,0,0,0,1,0,20180302,20230302
3,0,0,0,0,0,0,1,20180302,20230302
KPOB-CS:211:6:Sunday:1:18MAR:1234567,0,0,0,0,0,0,0,20180423,20180922
KPOB-CS:221:0:Weekday:1:18MAR:12345,0,0,0,0,0,0,0,20180423,20180922
KPOB-CS:271:5:Saturday:1:18MAR:6,0,0,0,0,0,0,0,20180423,20180922
MCOB-DO:111:6:Sunday:1:18MAR:1234567,0,0,0,0,0,0,0,20180423,20180922
MCOB-DO:121:0:Weekday:1:18MAR:12345,0,0,0,0,0,0,0,20180423,20180922
MCOB-DO:171:5:Saturday:1:18MAR:6,0,0,0,0,0,0,0,20180423,20180922
Default-1,0,0,0,0,0,1,0,20180307,20180922
Default-62,1,1,1,1,1,0,0,20180307,20180922
Default-64,0,0,0,0,0,0,1,20180307,20180922
SA,0,0,0,0,0,1,0,20180311,20180922
SP_SNDR_FC_1,0,0,0,0,0,0,0,20180311,20180922
SP_SNDR_M,0,0,0,0,0,0,0,20180311,20180922
SU,0,0,0,0,0,0,1,20180311,20180922
WD_SNDR,1,1,1,1,1,0,0,20180311,20180922
WD_TL,1,1,1,1,1,0,0,20180311,20180922
20180329,0,0,0,1,0,0,0,20180329,20180329
20180330,0,0,0,0,1,0,0,20180330,20180330
20180331,0,0,0,0,0,1,0,20180331,20180331
20180401,0,0,0,0,0,0,1,20180401,20180401
20180402,1,0,0,0,0,0,0,20180402,20180402
20180403,0,1,0,0,0,0,0,20180403,20180403
20180404,0,0,1,0,0,0,0,20180404,20180404
20180405,0,0,0,1,0,0,0,20180405,20180405
20180406,0,0,0,0,1,0,0,20180406,20180406
20180407,0,0,0,0,0,1,0,20180407,20180407
20180408,0,0,0,0,0,0,1,20180408,20180408
