stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,location_type,parent_station,wheelchair_boarding,stop_timezone
1-1000,Pine St & 9th Ave,47.613415,-122.332138,,,21,,,,America/Los_Angeles
1-1010,Howell St & Minor Ave,47.616711,-122.330597,,,1,,,,America/Los_Angeles
1-1020,Howell St & Yale Ave,47.617626,-122.329407,,,21,,,,America/Los_Angeles
1-10328,Valley St & Fairview Ave N,47.626034,-122.334106,,,1,,,,America/Los_Angeles
1-1040,Olive Way & 6th Ave,47.613026,-122.336334,,,21,,,,America/Los_Angeles
1-1070,Olive Way & Terry Ave,47.614914,-122.331848,,,1,,,,America/Los_Angeles
1-10800,Sand Point Way NE & NE 115th St,47.712620,-122.281837,,,1,,,,America/Los_Angeles
1-1082,Convention Place Station - Bay I,47.614113,-122.331726,,,1,,,,America/Los_Angeles
1-1085,Pine St & 9th Ave,47.613377,-122.332603,,,21,,,,America/Los_Angeles
1-1086,Convention Place Station - Bay E,47.614574,-122.331688,,,1,,,,America/Los_Angeles
1-11011,Broadway  E & E Roy St,47.625248,-122.321114,,,1,,,,America/Los_Angeles
1-1108,Westlake Station - Bay C,47.611393,-122.337509,,,21,,,,America/Los_Angeles
1-1109,Westlake Station - Bay D,47.611725,-122.336716,,,21,,,,America/Los_Angeles
1-11095,Boren Ave & James St,47.606216,-122.322395,,,1,,,,America/Los_Angeles
1-1110,Pine St & 5th Ave,47.611767,-122.336456,,,21,,,,America/Los_Angeles
1-1120,Pine St & 4th Ave,47.611103,-122.338028,,,21,,,,America/Los_Angeles
1-1121,Westlake Station - Bay A,47.611801,-122.335823,,,21,,,,America/Los_Angeles
1-11770,31st Ave S & S Plum St,47.585098,-122.292908,,,1,,,,America/Los_Angeles
1-1180,Pike St & 4th Ave,47.610134,-122.336685,,,21,,,,America/Los_Angeles
1-1190,Pike St & 6th Ave,47.611034,-122.334526,,,21,,,,America/Los_Angeles
1-1192,Convention Place Station - Bay A,47.613941,-122.331520,,,1,,,,America/Los_Angeles
1-1209,Convention Pl & Union St,47.611126,-122.331779,,,21,,,,America/Los_Angeles
1-1230,Union St & 4th Ave,47.609131,-122.336182,,,21,,,,America/Los_Angeles
1-12373,E Madison St & 18th Ave,47.616173,-122.308563,,,1,,,,America/Los_Angeles
1-12390,E Madison St & 29th Ave E,47.624065,-122.295189,,,1,,,,America/Los_Angeles
1-1250,Seneca St & 4th Ave,47.607422,-122.334610,,,21,,,,America/Los_Angeles
1-1260,Seneca St & 6th Ave,47.608742,-122.331482,,,1,,,,America/Los_Angeles
1-12690,34th Ave & E Union St,47.612503,-122.289421,,,1,,,,America/Los_Angeles
1-1270,Spring St & 4th Ave,47.606876,-122.333206,,,21,,,,America/Los_Angeles
1-1280,Spring St & 6th Ave,47.607815,-122.330948,,,1,,,,America/Los_Angeles
1-1300,Madison St & 8th Ave,47.608028,-122.328079,,,1,,,,America/Los_Angeles
1-1340,Yesler Way & Prefontaine Pl S,47.601646,-122.329857,,,21,,,,America/Los_Angeles
1-1350,Yesler Way & 6th Ave S,47.601639,-122.325050,,,1,,,,America/Los_Angeles
1-1360,Yesler Way & 5th Ave,47.601788,-122.327400,,,21,,,,America/Los_Angeles
1-1370,Yesler Way & 3rd Ave,47.601780,-122.329803,,,21,,,,America/Los_Angeles
1-1400,Madison St & 5th Ave,47.606636,-122.331779,,,21,,,,America/Los_Angeles
1-1415,Madison St & 4th Ave,47.605984,-122.333366,,,21,,,,America/Los_Angeles
